,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,Fungal infection,0,1,2,102,140,140,140,140,140,140,140,140,140,140,140,140,140
1,Fungal infection,1,2,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140
2,Fungal infection,0,2,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140
3,Fungal infection,0,1,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140
4,Fungal infection,0,1,2,140,140,140,140,140,140,140,140,140,140,140,140,140,140
5,Fungal infection,1,2,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140
6,Fungal infection,0,2,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140
7,Fungal infection,0,1,102,140,140,140,140,140,140,140,140,140,140,140,140,140,140
8,Fungal infection,0,1,2,140,140,140,140,140,140,140,140,140,140,140,140,140,140
9,Fungal infection,0,1,2,102,140,140,140,140,140,140,140,140,140,140,140,140,140
10,Allergy,3,4,5,103,140,140,140,140,140,140,140,140,140,140,140,140,140
11,Allergy,4,5,103,140,140,140,140,140,140,140,140,140,140,140,140,140,140
12,Allergy,3,5,103,140,140,140,140,140,140,140,140,140,140,140,140,140,140
13,Allergy,3,4,103,140,140,140,140,140,140,140,140,140,140,140,140,140,140
14,Allergy,3,4,5,140,140,140,140,140,140,140,140,140,140,140,140,140,140
15,Allergy,4,5,103,140,140,140,140,140,140,140,140,140,140,140,140,140,140
16,Allergy,3,5,103,140,140,140,140,140,140,140,140,140,140,140,140,140,140
17,Allergy,3,4,103,140,140,140,140,140,140,140,140,140,140,140,140,140,140
18,Allergy,3,4,5,140,140,140,140,140,140,140,140,140,140,140,140,140,140
19,Allergy,3,4,5,103,140,140,140,140,140,140,140,140,140,140,140,140,140
20,GERD,7,8,9,11,24,56,140,140,140,140,140,140,140,140,140,140,140
21,GERD,7,9,11,24,56,140,140,140,140,140,140,140,140,140,140,140,140
22,GERD,7,8,11,24,56,140,140,140,140,140,140,140,140,140,140,140,140
23,GERD,7,8,9,24,56,140,140,140,140,140,140,140,140,140,140,140,140
24,GERD,7,8,9,11,56,140,140,140,140,140,140,140,140,140,140,140,140
25,GERD,7,8,9,11,24,140,140,140,140,140,140,140,140,140,140,140,140
26,GERD,8,9,11,24,56,140,140,140,140,140,140,140,140,140,140,140,140
27,GERD,7,9,11,24,56,140,140,140,140,140,140,140,140,140,140,140,140
28,GERD,7,8,11,24,56,140,140,140,140,140,140,140,140,140,140,140,140
29,GERD,7,8,9,24,56,140,140,140,140,140,140,140,140,140,140,140,140
30,Chronic cholestasis,0,11,32,34,35,39,43,140,140,140,140,140,140,140,140,140,140
31,Chronic cholestasis,11,32,34,35,39,43,140,140,140,140,140,140,140,140,140,140,140
32,Chronic cholestasis,0,32,34,35,39,43,140,140,140,140,140,140,140,140,140,140,140
33,Chronic cholestasis,0,11,34,35,39,43,140,140,140,140,140,140,140,140,140,140,140
34,Chronic cholestasis,0,11,32,35,39,43,140,140,140,140,140,140,140,140,140,140,140
35,Chronic cholestasis,0,11,32,34,39,43,140,140,140,140,140,140,140,140,140,140,140
36,Chronic cholestasis,0,11,32,34,35,43,140,140,140,140,140,140,140,140,140,140,140
37,Chronic cholestasis,0,11,32,34,35,39,140,140,140,140,140,140,140,140,140,140,140
38,Chronic cholestasis,0,11,32,34,35,39,43,140,140,140,140,140,140,140,140,140,140
39,Chronic cholestasis,0,11,32,34,35,39,43,140,140,140,140,140,140,140,140,140,140
40,Drug Reaction,0,1,7,12,13,140,140,140,140,140,140,140,140,140,140,140,140
41,Drug Reaction,0,7,12,13,140,140,140,140,140,140,140,140,140,140,140,140,140
42,Drug Reaction,0,1,12,13,140,140,140,140,140,140,140,140,140,140,140,140,140
43,Drug Reaction,0,1,7,13,140,140,140,140,140,140,140,140,140,140,140,140,140
44,Drug Reaction,0,1,7,12,140,140,140,140,140,140,140,140,140,140,140,140,140
45,Drug Reaction,1,7,12,13,140,140,140,140,140,140,140,140,140,140,140,140,140
46,Drug Reaction,0,7,12,13,140,140,140,140,140,140,140,140,140,140,140,140,140
47,Drug Reaction,0,1,12,13,140,140,140,140,140,140,140,140,140,140,140,140,140
48,Drug Reaction,0,1,7,13,140,140,140,140,140,140,140,140,140,140,140,140,140
49,Drug Reaction,0,1,7,12,140,140,140,140,140,140,140,140,140,140,140,140,140
50,Peptic ulcer diseae,11,35,39,92,93,140,140,140,140,140,140,140,140,140,140,140,140
51,Peptic ulcer diseae,11,30,39,92,93,140,140,140,140,140,140,140,140,140,140,140,140
